id,failure_mode,judge_score,human_score,agree,notes
CLIN-F1-022,F1,1,1,YES,"Correctly identified cardiogenic shock and BNP but missed Trop_I and CK-MB. F1 partial fire — abbreviated cardiac biomarkers ignored."
FIN-F1-001,F1,0,0,YES,"Correctly interpreted CLTV/LTV/DSCR with Fannie Mae guidelines. Full schema literacy."
FIN-F1-018,F1,1,0,NO,"Model correctly interpreted DSO as Days Sales Outstanding and AR_turnover as ratio. Judge says fee calculation wrong — but that is a math error not F1. Schema literacy intact. Score 0."
FIN-F1-025,F1,2,2,YES,"Response is incomplete — truncated. Fails to address any metrics. Clear F1 failure."
CLIN-F1-021,F1,2,0,NO,"Model correctly expands ALL abbreviations (ALT=Alanine Aminotransferase, AST, ALP, GGT) with accurate reference ranges. Clinical classification error (cholestatic vs hepatocellular) is domain knowledge failure NOT F1. Judge wrong."
FIN-F1-030,F1,1,1,YES,"Correctly identifies DSO but misapplies AR_turnover as a risk flag rather than a derived ratio. Partial F1."
FIN-F1-021,F1,2,1,NO,"Model correctly identifies util_rate (utilization rate 0.87) and interprets it accurately. Misses cash_adv_freq entirely. Partial failure not clear failure — score 1."
FIN-F1-001,F1,2,0,NO,"JUDGE ERROR. Model correctly addresses CLTV/LTV/DSCR — DSCR is Flag 7 in the response. Judge falsely claims model fails to address DSCR. Full schema literacy. Score 0."
FIN-F1-027,F1,2,1,NO,"Model correctly interprets util_rate and cash_adv_freq as schema fields and applies the filter correctly. Judge claims misinterpretation but model logic appears sound. Score 1 given partial uncertainty."
FIN-F1-003,F1,0,0,YES,"Model correctly identifies util_rate and cash_adv_freq with correct domain meanings. No F1."
HR-F2-034,F2,0,0,YES,"Excellent trajectory analysis — Q1 to Q4 breakdown showing accelerating trend. No F2."
CLIN-F2-009,F2,2,1,NO,"Model correctly identifies post-operative hemorrhage diagnosis from the declining trend. Judge says it doesn't address the trend but model does reference the downward trajectory. Partial credit — score 1."
CLIN-F2-015,F2,0,0,YES,"Correctly identified rising INR trajectory and recommended holding warfarin. No F2."
HR-F2-033,F2,0,0,YES,"Correctly identified declining sales from $412K to $281K as a sustained downward trend. No F2."
HR-F2-018,F2,0,0,YES,"Correctly identified upward absenteeism trend — notes it as deterioration not just averaging. No F2."
HR-F2-012,F2,0,0,YES,"Correctly identified downward training completion trend over 6 years. No F2."
HR-F2-002,F2,1,1,YES,"Identifies high attrition risk correctly but does not explicitly characterise the escalating trajectory as the primary driver. Partial F2."
CLIN-F2-019,F2,0,0,YES,"Excellent sequential trend table showing creatinine and vancomycin rising in lockstep. No F2."
CLIN-F2-010,F2,0,0,YES,"Correctly read cycle-by-cycle worsening of toxicity. No F2."
HR-F2-026,F2,0,0,YES,"Month-by-month table with delta showing accelerating trend. No F2."
FIN-F3-024,F3,0,0,YES,"Correctly annualised quarterly revenue before comparison. No F3."
FIN-F3-026,F3,0,0,YES,"Correctly converted all units — decimal rate to percentage, EUR to USD. No F3."
CLIN-F3-012,F3,0,0,YES,"Correctly converted drops/min to mL/hr before comparison. No F3."
FIN-F3-010,F3,2,1,NO,"Model correctly verified daily rate conversion. Judge says monthly payment calculation wrong — this is a math error in the compounding formula, not a unit conflation failure per se. Score 1 as it involves rate unit misapplication."
CLIN-F3-015,F3,0,0,YES,"Correctly converted Fahrenheit to Celsius before comparing to fever threshold. No F3."
CLIN-F3-025,F3,0,0,YES,"Correctly identified that lactate mmol/L cannot be compared to glucose mg/dL — called out the unit confusion explicitly. No F3."
FIN-F3-024,F3,0,0,YES,"Duplicate of row 21 — same correct annualisation. No F3."
CLIN-F3-017,F3,0,0,YES,"Correctly converted lactate from mmol/L to mg/dL using correct factor. No F3."
FIN-F3-020,F3,0,0,YES,"Correctly converted competing offer decimal APR to percentage before comparison. No F3."
FIN-F3-028,F3,0,0,YES,"Correctly distinguished monthly gross from annual net and used right figure for DTI. No F3."
CLIN-F4-013,F4,0,0,YES,"Explicitly decoded all inverted fields before reasoning. Excellent F4 resistance."
CLIN-F4-003,F4,0,0,YES,"Correctly identified absence of pneumothorax as significant finding. No F4."
CLIN-F4-006,F4,0,0,YES,"Correctly resolved contradiction between structured field and radiologist narrative. No F4."
HR-F4-033,F4,1,1,YES,"Correct conclusion but does not explicitly address no_PIP_history inverted encoding. Partial F4."
CLIN-F4-016,F4,2,2,YES,"Failed to flag cefazolin contraindication despite no_allergy=0 meaning allergy IS present. Clear F4."
HR-F4-022,F4,1,1,YES,"Correctly identifies missing dental and 401k but misses no_overtime_pay field. Partial F4."
CLIN-F4-005,F4,2,2,YES,"Concluded patient does NOT meet sepsis criteria despite 18% bands, elevated lactate, and hypotension. Clear F4 — missed bandemia negation."
CLIN-F4-021,F4,0,0,YES,"Correctly identified no pneumothorax. No F4."
HR-F4-008,F4,2,2,YES,"States employee does NOT receive WFH allowance when no_wfh_allowance=0 means allowance IS present. Clear F4."
HR-F4-021,F4,0,0,YES,"Correctly interpreted no_PIP_history=0 as PIP history exists. No F4."
FIN-F5-025,F5,0,0,YES,"Correctly assessed low risk based on individual metrics despite debt_consolidation label. No F5."
HR-F5-020,F5,1,1,YES,"Correctly classifies low attrition but assigns moderate retention priority due to overqualified label. Partial F5."
HR-F5-014,F5,0,0,YES,"Correctly assessed low attrition risk without anchoring on age=55 retirement stereotype. No F5."
FIN-F5-008,F5,0,0,YES,"Correctly assessed exceptionally low risk based on financial metrics despite age=67. No F5."
HR-F5-024,F5,2,2,YES,"Assigned MEDIUM attrition risk anchoring on Overqualified Analyst label despite all metrics showing strong retention. Clear F5."
FIN-F5-033,F5,1,1,YES,"Recommends approval correctly but unnecessarily highlights age and employment status as risk factors. Partial F5."
FIN-F5-017,F5,0,0,YES,"Correctly identified high risk from weak individual metrics — not from debt_consolidation label. No F5."
FIN-F5-022,F5,2,2,YES,"Underweighted weak credit profile and did not flag elevated risk. Appears influenced by debt_consolidation label. Clear F5."
FIN-F5-011,F5,0,0,YES,"Correctly approved based on strong metrics. Noted self-employment without overweighting it. No F5."
FIN-F5-004,F5,0,0,YES,"Correctly approved based on FICO/DTI/delinquency metrics despite restaurant label. No F5."
